size,subject,layer,shape,mean_r,median_r,std_r,min_r,max_r,nan_count,inf_count,zero_ratio,positive_ratio,file
30B,5,20,"(10242,)",0.06250974730697013,0.07016122796631452,0.029299907935490192,-0.17340618353771697,0.17661826621530854,0,0,0.0,0.9477641085725445,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer20/base_subj5_corrlh.npy
30B,6,20,"(10242,)",0.028644945000825334,0.031918551921249746,0.01758754615455834,-0.12645202967519398,0.1245938508337364,0,0,0.0,0.9489357547354033,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer20/base_subj6_corrlh.npy
30B,7,20,"(10242,)",0.05098009401264675,0.05447889587212803,0.02068154898267263,-0.1542267709612286,0.1704477430617512,0,0,0.0,0.9673891818004297,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer20/base_subj7_corrlh.npy
30B,8,20,"(10242,)",0.11896685756068207,0.13044840295441776,0.041038630964219884,-0.19653194473996555,0.17592830375361462,0,0,0.0,0.9622144112478032,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer20/base_subj8_corrlh.npy
30B,4,21,"(10242,)",0.13385262260463046,0.14524575398776385,0.038528500247682264,-0.17944740860934955,0.20908137161018003,0,0,0.0,0.9739308728763914,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer21/base_subj4_corrlh.npy
30B,5,21,"(10242,)",0.10909088342293627,0.13020312268591608,0.0625397492697526,-0.240041449636056,0.21287183647247077,0,0,0.0,0.9252099199375122,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer21/base_subj5_corrlh.npy
30B,6,21,"(10242,)",-0.018997740578571794,-0.020154756749427082,0.009266263140684319,-0.08731957033540537,0.07372365799078165,0,0,0.0,0.03719976567076743,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer21/base_subj6_corrlh.npy
30B,7,21,"(10242,)",0.08339853701316989,0.08853183113446517,0.02515112628018997,-0.1472937001499116,0.1503344081592604,0,0,0.0,0.9750048818590119,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer21/base_subj7_corrlh.npy
30B,8,21,"(10242,)",0.2108882773910637,0.23097797817780108,0.07309811326802111,-0.26078090266164394,0.28835003536591053,0,0,0.0,0.9599687561023238,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer21/base_subj8_corrlh.npy
30B,4,22,"(10242,)",0.07975959381414173,0.08700488647526525,0.024519860149579888,-0.13703885018618042,0.13885285203757422,0,0,0.0,0.9730521382542472,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer22/base_subj4_corrlh.npy
30B,5,22,"(10242,)",0.03126051887058609,0.031795204220317064,0.020500886070782764,-0.11054223354843568,0.13400235972908225,0,0,0.0,0.9391720367115798,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer22/base_subj5_corrlh.npy
30B,6,22,"(10242,)",0.02417169807018441,0.026651692783162706,0.014689926054085868,-0.20331664873251243,0.09657517494311509,0,0,0.0,0.9531341534856473,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer22/base_subj6_corrlh.npy
30B,7,22,"(10242,)",0.053093589107679647,0.05560065213705244,0.012618954732745566,-0.10358358329184131,0.1223421115915771,0,0,0.0,0.9847685998828354,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer22/base_subj7_corrlh.npy
30B,8,22,"(10242,)",0.1751042245757074,0.19176865846976943,0.06206845289118006,-0.21693731207631564,0.26228200565272203,0,0,0.0,0.9602616676430384,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer22/base_subj8_corrlh.npy
