size,layer,n_subjects,mean_r,median_r,std_between_subjects,avg_zero_ratio,avg_positive_ratio,nan_total,inf_total
65B,26,5,0.04404500973009056,0.04794805932726765,0.08858482473012322,0.0,0.5777387229056825,0,0
65B,27,5,0.06338756071196128,0.0697437060925101,0.057052104605862984,0.0,0.786447959382933,0,0
65B,28,5,0.06773174704828688,0.07334826396671981,0.06510152167672177,0.0,0.788439757859793,0,0
65B,29,5,0.04503358969131528,0.04894434915702643,0.06094764367693154,0.0,0.762663542276899,0,0
65B,30,5,0.09019673860266009,0.09839024711416829,0.0755275286865627,0.0,0.9584456160906074,0,0
65B,31,5,0.08269187719780757,0.09092193150203075,0.05560166952992067,0.0,0.9620581917594219,0,0
65B,32,5,0.06475886218822029,0.06908498933962519,0.06969107807406145,0.0,0.7905291935168913,0,0
65B,33,5,0.08399064511077999,0.090787165032355,0.06487818328176409,0.0,0.9611989845733255,0,0
65B,34,5,0.07316759965284406,0.08094690572054762,0.07503905438416067,0.0,0.7723296231204844,0,0
65B,35,5,0.058990726521285855,0.0654554553597958,0.082074836864545,0.0,0.6652411638351884,0,0
65B,36,5,0.06411160939198993,0.06932576098736917,0.06844919240727831,0.0,0.9380394454208162,0,0
65B,37,5,0.05878082118074307,0.06564109197963355,0.07901696326873688,0.0,0.7664323374340949,0,0
65B,38,5,0.07020708032593241,0.07771864040784197,0.06404945247723695,0.0,0.7849443468072642,0,0
65B,39,5,0.0867889583180939,0.09476830001823003,0.02250353542544688,0.0,0.9632688927943761,0,0
65B,40,5,0.015727207254423867,0.017419737940460683,0.03885409775838209,0.0,0.5950205038078501,0,0
65B,41,5,0.059659808317592974,0.06506992718318423,0.05443158623941493,0.0,0.8040031243897676,0,0
65B,42,5,0.0842286720902615,0.09183168585545336,0.04648503535157533,0.0,0.9653192735793791,0,0
65B,43,5,0.010201387350435659,0.010159091605645848,0.039811378829756446,0.0,0.6859011911735988,0,0
65B,44,5,0.06622400606416853,0.07186345362711719,0.05013467225342554,0.0,0.959402460456942,0,0
65B,45,5,0.05877277062428586,0.06489896086538736,0.04505086201722597,0.0,0.9120484280413981,0,0
65B,46,5,0.02624260120800571,0.029517462248438715,0.04671782734793938,0.0,0.7018941612966219,0,0
65B,47,5,0.04470063363465927,0.048527631751513305,0.02579666822469142,0.0,0.9499902362819762,0,0
65B,48,5,0.01736772619242862,0.02013330246175798,0.0565904997250565,0.0,0.614489357547354,0,0
65B,49,5,0.06987826797545803,0.07709857501810806,0.05107062849309485,0.0,0.89767623511033,0,0
65B,50,5,0.036869841985597326,0.041216081523717356,0.059889048664667016,0.0,0.7514157391134544,0,0
65B,51,5,0.02112591684704523,0.02222017882265528,0.04199820522563219,0.0,0.7374731497754345,0,0
65B,52,5,0.023006791194050795,0.02608780406681252,0.04899374503850518,0.0,0.5853934778363601,0,0
65B,53,5,0.0009974943815130297,0.0005441998593591471,0.04045932901201847,0.0,0.42733841046670573,0,0
65B,54,5,0.02286810330995303,0.025495540966278967,0.02390152944428678,0.0,0.8521187268111696,0,0
65B,55,5,0.033117553844979816,0.03636527940985558,0.04687334821034426,0.0,0.6243702401874633,0,0
65B,56,5,0.03596096367496489,0.03945330839725775,0.03621234214160719,0.0,0.7752977933997267,0,0
65B,57,5,0.015602454417260964,0.017137905294216972,0.03788710823207847,0.0,0.4986135520406171,0,0
65B,58,5,0.06950851029625922,0.07561066987240654,0.05895092673388469,0.0,0.9633860574106621,0,0
65B,59,5,0.02816250943326325,0.030994106873113648,0.046234556614843915,0.0,0.6086506541691076,0,0
